Area,Weight
561,14.80
506,22.50
704,28.80
1045,30.60
847,33.60
484,12.00
1188,43.10
672,26.50
552,23.90
960,31.30
869,31.00
603,17.40
594,23.50
737,21.60
704,27.40
979,29.70
792,35.00
576,17.60
540,21.00
720,19.70
300,14.50
924,42.40
429,13.20
1045,47.70
506,25.80
260,6.90
946,39.90
451,20.40
1023,43.40
1309,38.60
638,27.40
1265,41.70
1023,43.90
1008,44.60
1248,64.00
1104,45.60
1536,45.40
1222,49.20
1248,53.50
627,27.10
660,31.10
816,28.20
522,21.20
500,15.50
1050,48.60
810,34.10
368,12.90
621,25.90
783,31.60
560,26.00
756,21.40
1012,47.40
1254,61.90
500,18.50
700,31.50
640,36.60
620,30.60
430,15.70
1284,52.50
780,38.40
